Starting Experiment with Threshold 0.01
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000099,1,0.011661807580174927,1372,1045045,11
0000000100,1,0.03193033381712627,1378,1045043,10
0000000101,1,0.014524328249818447,1377,1045045,10
0000000102,1,0.01309090909090909,1375,1045042,12
0000000103,1,0.01882693700217234,1381,1045046,11
0000000104,1,0.0188953488372093,1376,1045047,10
0000000105,1,0.011636363636363636,1375,1045043,10
0000000106,1,0.020319303338171262,1378,1045048,11
0000000107,1,0.015988372093023256,1376,1045045,10
0000000108,1,0.02177068214804064,1378,1045047,10
0000000109,1,0.011636363636363636,1375,1045043,10
0000000110,1,0.010181818181818183,1375,1045048,10
0000000111,1,0.02902757619738752,1378,1045047,11
0000000112,1,0.03195352214960058,1377,1045045,13
0000000113,1,0.01744186046511628,1376,1045043,10
0000000114,1,0.034934497816593885,1374,1045040,11
0000000115,1,0.011636363636363636,1375,1045041,10
0000000116,1,0.01451378809869376,1378,1045047,10
0000000117,1,0.00870195794053662,1379,1045049,10
0000000118,1,0.017429193899782137,1377,1045047,11
0000000119,1,0.030523255813953487,1376,1045047,10
0000000120,1,0.024691358024691357,1377,1045045,12
0000000121,1,0.011602610587382161,1379,1045047,9
0000000122,1,0.018936635105608158,1373,1045043,11
0000000123,1,0.021691973969631236,1383,1045053,11
0000000124,1,0.02610587382160986,1379,1045044,13
0000000125,1,0.013109978150036417,1373,1045039,10
0000000126,1,0.011552346570397111,1385,1045052,10
0000000127,1,0.018950437317784258,1372,1045040,10
0000000128,1,0.01885424220449601,1379,1045046,11
0000000129,1,0.01597676107480029,1377,1045043,9
0000000130,1,0.027676620538965767,1373,1045044,10
0000000131,1,0.011666666666666667,1200,1045043,10
0000000132,1,0.0182648401826484,219,1045037,5
0000000133,1,0.0,1,1045030,2
0000000134,1,0.125,16,1045030,5
0000000135,1,0.0,37,1045047,8
0000000136,1,0.01834862385321101,218,1045041,8
0000000137,1,0.0,1,1045040,2
0000000138,1,0.375,16,1045040,6
0000000139,1,0.0,37,1045047,5
0000000140,1,0.02181818181818182,1375,1045047,11
0000000141,1,0.013119533527696793,1372,1045114,9
0000000142,1,0.013100436681222707,1374,1045127,10
0000000143,1,0.014534883720930232,1376,1045135,9
0000000144,1,0.0087527352297593,1371,1045116,12
0000000145,1,0.015930485155684286,1381,1045120,9
0000000146,1,0.0091324200913242,219,1045035,13
0000000147,1,0.0,1,1045033,3
0000000148,1,0.0,16,1045033,12
0000000149,1,0.21621621621621623,37,1045028,13
0000000150,1,0.0,71,1045105,12
0000000151,1,0.01951616182150844,4919,1045156,79
0000000152,1,0.005934718100890208,337,1045299,13
0000000153,1,0.5,4,1045300,2
0000000154,1,0.07272727272727272,220,1045305,8
0000000155,1,0.0,1,1045305,2
0000000156,1,0.23529411764705882,17,1045305,8
0000000157,1,0.0,37,1045274,6
0000000158,1,0.04793028322440087,1377,1045073,13
0000000159,1,0.017454545454545455,1375,1045073,10
0000000160,1,0.011627906976744186,1376,1045078,12
0000000161,1,0.014545454545454545,1375,1045071,10
0000000162,1,0.023205221174764323,1379,1045078,11
0000000163,1,0.014534883720930232,1376,1045075,10
0000000164,1,0.018922852983988356,1374,1045072,11
0000000165,1,0.01455604075691412,1374,1045071,12
0000000166,1,0.02170767004341534,1382,1045080,10
0000000167,1,0.030523255813953487,1376,1045075,12
0000000168,1,0.02040816326530612,1372,1045068,10
0000000169,1,0.013071895424836602,1377,1045073,11
0000000170,1,0.0392156862745098,1377,1045072,10
0000000171,1,0.020348837209302327,1376,1045078,10
0000000172,1,0.017429193899782137,1377,1045079,12
0000000173,1,0.015988372093023256,1376,1045080,10
0000000174,1,0.02327272727272727,1375,1045083,10
0000000175,1,0.01740391588107324,1379,1045092,10
0000000176,1,0.02178649237472767,1377,1045101,11
0000000177,1,0.011619462599854757,1377,1045102,11
0000000178,1,0.011585807385952208,1381,1045104,10
0000000179,1,0.01595358955765047,1379,1045103,11
0000000180,1,0.011569052783803326,1383,1045104,11
0000000181,1,0.023255813953488372,1376,1045128,10
0000000182,1,0.010189228529839884,1374,1045126,9
0000000183,1,0.02180232558139535,1376,1045126,12
0000000184,1,0.024727272727272726,1375,1045124,10
0000000185,1,0.016034985422740525,1372,1045123,12
0000000186,1,0.024691358024691357,1377,1045124,11
0000000187,1,0.024655547498187092,1379,1045162,10
0000000188,1,0.010174418604651164,1376,1045157,13
0000000189,1,0.017429193899782137,1377,1045162,10
0000000190,1,0.01890909090909091,1375,1045158,9
0000000191,1,0.021754894851341553,1379,1045163,13
0000000192,1,0.014450867052023121,1384,1045164,12
0000000193,1,0.023238925199709513,1377,1045154,11
0000000194,1,0.01015228426395939,1379,1045157,22
0000000195,1,0.01884057971014493,1380,1045159,15
0000000196,1,0.011636363636363636,1375,1045186,18
0000000197,1,0.024691358024691357,1377,1045188,13
0000000198,1,0.015988372093023256,1376,1045188,11
0000000199,1,0.021849963583394028,1373,1045184,22
0000000200,1,0.02040816326530612,1372,1045178,18
0000000201,1,0.023255813953488372,1376,1045187,11
0000000202,1,0.01455604075691412,1374,1045187,17
0000000203,1,0.01447178002894356,1382,1045189,9
0000000204,1,0.00873998543335761,1373,1045180,10
0000000205,1,0.02039329934450109,1373,1045181,10
0000000206,1,0.016023306627822288,1373,1045165,13
0000000207,1,0.013100436681222707,1374,1045171,39
0000000208,1,0.014534883720930232,1376,1045168,14
0000000209,1,0.02606806661839247,1381,1045176,11
0000000210,1,0.03781818181818182,1375,1045146,10
0000000211,1,0.015488867376573089,1033,1045145,10
0000000212,1,0.023222060957910014,1378,1045147,10
0000000213,1,0.01601164483260553,1374,1045174,11
0000000214,1,0.01885424220449601,1379,1045181,12
0000000215,1,0.01741654571843251,1378,1045178,10
0000000216,1,0.010211524434719184,1371,1045183,10
0000000217,1,0.01455604075691412,1374,1045175,13
0000000218,1,0.02608695652173913,1380,1045182,11
0000000219,1,0.01882693700217234,1381,1045181,10
0000000220,1,0.014524328249818447,1377,1045218,11
0000000221,1,0.01308139534883721,1376,1045179,11
0000000222,1,0.02178649237472767,1377,1045180,11
0000000223,1,0.032046613255644577,1373,1045174,10
0000000224,1,0.014492753623188406,1380,1045184,11
0000000225,1,0.024709302325581394,1376,1045174,10
0000000226,1,0.008733624454148471,1374,1045174,10
0000000227,1,0.020289855072463767,1380,1045178,10
0000000228,1,0.016034985422740525,1372,1045222,9
0000000229,1,0.023205221174764323,1379,1045181,10
0000000230,1,0.016023306627822288,1373,1045173,10
0000000231,1,0.020289855072463767,1380,1045180,11
0000000232,1,0.01305293691080493,1379,1045182,10
0000000233,1,0.01447178002894356,1382,1045185,12
0000000234,1,0.00870195794053662,1379,1045179,10
0000000235,1,0.034934497816593885,1374,1045187,10
0000000236,1,0.026219956300072834,1373,1045175,10
0000000237,1,0.01744186046511628,1376,1045180,10
0000000238,1,0.018867924528301886,1378,1045179,10
0000000239,1,0.011627906976744186,1376,1045206,11
0000000240,1,0.017378711078928313,1381,1045216,10
0000000241,1,0.020319303338171262,1378,1045208,12
0000000242,1,0.021865889212827987,1372,1045228,10
0000000243,1,0.024745269286754003,1374,1045234,10
0000000244,1,0.023255813953488372,1376,1045234,11
0000000245,1,0.017467248908296942,1374,1045259,10
0000000246,1,0.017467248908296942,1374,1045255,10
0000000247,1,0.01601164483260553,1374,1045258,11
0000000248,1,0.013100436681222707,1374,1045262,10
0000000249,1,0.02181818181818182,1375,1045259,10
0000000250,1,0.008689355539464157,1381,1045269,9
0000000251,1,0.014503263234227702,1379,1045266,10
0000000252,1,0.030501089324618737,1377,1045266,10
0000000253,1,0.016023306627822288,1373,1045256,10
0000000254,1,0.023138105567606652,1383,1045270,11
0000000255,1,0.02030456852791878,1379,1045265,9
0000000256,1,0.01890909090909091,1375,1045291,12
0000000257,1,0.00872093023255814,1376,1045297,11
0000000258,1,0.02178649237472767,1377,1045289,10
0000000259,1,0.01740391588107324,1379,1045291,10
0000000260,1,0.026219956300072834,1373,1045317,9
0000000261,1,0.013119533527696793,1372,1045314,10
0000000262,1,0.014524328249818447,1377,1045321,11
0000000263,1,0.017391304347826087,1380,1045209,9
0000000264,1,0.02181818181818182,1375,1045203,10
0000000265,1,0.008708272859216255,1378,1045204,13
0000000266,1,0.030545454545454546,1375,1045204,10
0000000267,1,0.02327272727272727,1375,1045202,12
0000000268,1,0.01882693700217234,1381,1045206,11
0000000269,1,0.01888162672476398,1377,1045210,11
0000000270,1,0.020319303338171262,1378,1045206,10
0000000271,1,0.026923076923076925,1040,1045213,10
0000000272,1,0.021868545741708177,16462,1045261,1445
0000000273,1,0.018339709722475252,16467,1045267,1151
0000000274,1,0.017393419692270266,16443,1045272,1094
