Starting Experiment with Threshold 0.001
(Lower threshold than before)
Stopping on first fine-grained attempt
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000080,1,0.0,433,28681,2
0000000081,1,0.05063291139240506,158,98325,3
0000000082,1,0.0,52,98324,1
0000000083,1,0.05,160,188646,3
0000000084,1,0.0,52,188643,4
0000000085,1,0.0,26,188643,3
0000000086,1,0.05063291139240506,158,57359,2
0000000087,1,0.0,52,57358,1
0000000088,1,0.0,26,57358,0
0000000089,1,0.050955414012738856,157,57358,2
0000000090,1,0.0,52,57358,1
0000000091,1,0.0,26,57358,0
0000000092,1,0.050955414012738856,157,73806,1
0000000093,1,0.0,52,73806,1
0000000094,1,0.0,26,73806,2
0000000095,1,0.050955414012738856,157,28680,1
0000000096,1,0.0,52,28680,1
0000000097,1,0.0,26,28680,1
0000000098,1,0.0,113,98318,1
0000000099,1,0.0,1542,98319,8
0000000100,1,0.0013306719893546241,1503,98314,8
0000000101,1,0.0030651340996168583,2610,98318,20
0000000102,1,0.0,1,98318,2
0000000103,1,0.0,1374,98322,6
0000000104,1,0.0,1367,98315,7
0000000105,1,0.0,1369,98317,7
0000000106,1,0.0,1376,98324,7
0000000107,1,0.0,1370,98318,7
0000000108,1,0.0,1508,98323,8
0000000109,1,5.026388539834129E-4,3979,98320,54
0000000110,1,0.0013297872340425532,1504,98321,9
0000000111,1,0.0013271400132714001,1507,98324,8
0000000112,1,0.0,1508,98325,9
0000000113,1,0.005294506949040371,1511,98328,8
0000000114,1,0.0,1507,98324,8
0000000115,1,0.0,1506,98323,8
0000000116,1,0.0012037315678603672,3323,98329,31
0000000117,1,0.0026455026455026454,1512,98337,8
0000000118,1,0.003981420039814201,1507,98332,9
0000000119,1,0.0,1508,98333,8
0000000120,1,0.0,738,98331,4
0000000121,1,0.0,1403,98329,8
0000000122,1,0.00398406374501992,1506,98331,8
0000000123,1,0.0025075225677031092,3988,98328,49
0000000124,1,0.0013280212483399733,1506,98329,10
0000000125,1,0.003976143141153081,1509,98332,12
0000000126,1,0.001813236627379873,1103,98334,5
0000000127,1,0.0,1406,98330,7
0000000128,1,0.0,1502,98325,7
0000000129,1,0.006644518272425249,1505,98328,8
0000000130,1,0.0021770682148040637,2756,98329,24
0000000131,1,0.0013297872340425532,1504,98326,8
0000000132,1,0.0013297872340425532,1504,98326,10
0000000133,1,0.0013280212483399733,1506,98328,9
0000000134,1,0.0012135922330097086,1648,98332,10
0000000135,1,0.0013280212483399733,1506,98329,9
0000000136,1,0.0,1515,98338,8
0000000137,1,0.0031625553447185324,3162,98328,28
0000000138,1,0.0013271400132714001,1507,98330,8
0000000139,1,0.0013297872340425532,1504,98327,8
0000000140,1,0.0013245033112582781,1510,98333,8
0000000141,1,0.0,1647,98331,10
0000000142,1,0.0013315579227696406,1502,98324,8
0000000143,1,0.0,1505,98327,10
0000000144,1,0.001264622194119507,3163,98329,32
0000000145,1,0.0,1505,98328,8
0000000146,1,0.003989361702127659,1504,98327,8
0000000147,1,0.0,1504,98327,7
0000000148,1,0.0,1646,98331,8
0000000149,1,0.0,1506,98329,9
0000000150,1,0.0026578073089701,1505,98328,8
0000000151,1,7.309941520467836E-4,2736,98328,24
0000000152,1,0.0,1409,98332,7
0000000153,1,0.0013253810470510272,1509,98332,8
0000000154,1,0.0,1512,98335,9
0000000155,1,0.0,1504,98327,8
0000000156,1,0.0012158054711246201,1645,98330,9
0000000157,1,0.0026542800265428003,1507,98330,8
0000000158,1,7.639419404125286E-4,2618,98332,21
0000000159,1,0.0013218770654329147,1513,98335,7
0000000160,1,0.0026578073089701,1505,98327,9
0000000161,1,8.126777732629012E-4,2461,98327,25
0000000162,1,0.0,894,98326,4
0000000163,1,0.0,1404,98325,7
0000000164,1,0.00398406374501992,1506,98327,8
0000000165,1,7.645259938837921E-4,2616,98330,20
0000000166,1,0.0,1505,98327,8
0000000167,1,0.0015378700499807767,2601,98335,21
0000000168,1,0.00132890365448505,1505,98332,8
0000000169,1,0.0015420200462606013,2594,98328,22
0000000170,1,0.0,1506,98329,8
0000000171,1,0.0015319800842589046,2611,98325,22
0000000172,1,0.0,1515,98335,8
0000000173,1,0.0015438054805094559,2591,98325,19
0000000174,1,0.0,1502,98323,8
0000000175,1,0.0030876109610189118,2591,98325,21
0000000176,1,0.0,1505,98326,13
0000000177,1,0.006111535523300229,2618,98332,21
0000000178,1,0.0013280212483399733,1506,98333,10
0000000179,1,0.00231839258114374,2588,98323,21
0000000180,1,0.006631299734748011,1508,98329,9
0000000181,1,7.716049382716049E-4,2592,98327,20
0000000182,1,0.0013306719893546241,1503,98326,7
0000000183,1,0.0030651340996168583,2610,98324,21
0000000184,1,0.005312084993359893,1506,98324,8
0000000185,1,0.002313030069390902,2594,98328,19
0000000186,1,0.0,1504,98328,8
0000000187,1,0.005384615384615384,2600,98334,21
0000000188,1,0.002652519893899204,1508,53273,8
0000000189,1,7.155635062611807E-4,2795,53269,30
0000000190,1,0.003989361702127659,1504,53265,8
0000000191,1,0.0,1504,53265,7
0000000192,1,0.0024311183144246355,2468,53273,19
0000000193,1,0.0,1,53273,1
