Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000057,1,0.0,482,1045016,12
0000000058,1,0.0,301,1045019,12
0000000059,1,0.25,4,1045018,2
0000000060,1,0.0,82,754051,8
0000000061,1,9.576250897773521E-4,4177,754089,62
0000000062,1,0.008298755186721992,482,762282,6
0000000063,1,0.0,300,770505,6
0000000064,1,0.25,4,770505,3
0000000065,1,0.21621621621621623,37,835991,5
0000000066,1,0.0,1375,1032677,10
0000000067,1,0.0,1378,1032677,10
0000000068,1,0.0,1374,1032683,10
0000000069,1,0.0,1375,1032686,10
0000000070,1,0.0,1376,1032691,10
0000000071,1,0.0,1376,1032697,10
0000000072,1,0.0,1373,1032703,10
0000000073,1,0.0,1378,1032706,10
0000000074,1,0.0,1374,1032706,10
0000000075,1,0.0,1373,1032709,9
0000000076,1,0.0,1376,1032717,10
0000000077,1,0.0,1372,1032715,10
0000000078,1,0.0,1375,1032721,10
0000000079,1,0.0,1375,1032778,9
0000000080,1,0.0,1374,1032782,10
0000000081,1,0.005784526391901663,1383,1032794,10
0000000082,1,0.0014566642388929353,1373,1032798,10
0000000083,1,0.0014534883720930232,1376,1032800,13
0000000084,1,0.001451378809869376,1378,1032810,10
0000000085,1,0.0,236,1032816,6
0000000086,1,0.014545454545454545,1375,1032682,10
0000000087,1,0.0,1376,1032699,11
0000000088,1,0.0,1374,1032696,10
0000000089,1,0.0014534883720930232,1376,1032694,9
0000000090,1,0.0014524328249818446,1377,1032700,9
0000000091,1,0.005813953488372093,1376,1032722,11
0000000092,1,0.001455604075691412,1374,1032718,11
0000000093,1,0.0014534883720930232,1376,1032721,13
0000000094,1,0.004962779156327543,403,1032727,6
0000000095,1,0.0,1377,1045013,10
0000000096,1,0.0,1375,1045043,10
0000000097,1,0.0029069767441860465,1376,1045044,9
0000000098,1,0.0,1377,1045047,10
0000000099,1,0.0,1372,1045045,10
0000000100,1,0.0,1378,1045043,10
0000000101,1,0.0014524328249818446,1377,1045045,10
0000000102,1,0.0,1375,1045042,10
0000000103,1,0.001448225923244026,1381,1045046,10
0000000104,1,0.0,1376,1045047,9
0000000105,1,0.0,1375,1045043,10
0000000106,1,0.0,1378,1045048,11
0000000107,1,0.0,1376,1045045,11
0000000108,1,0.002902757619738752,1378,1045047,9
0000000109,1,0.0,1375,1045043,11
0000000110,1,0.0,1375,1045048,11
0000000111,1,0.0043541364296081275,1378,1045047,9
0000000112,1,0.0,1377,1045045,11
0000000113,1,0.0014534883720930232,1376,1045043,10
0000000114,1,0.001455604075691412,1374,1045040,10
0000000115,1,0.0,1375,1045041,10
0000000116,1,0.0,1378,1045047,10
0000000117,1,0.0,1379,1045049,11
0000000118,1,0.002904865649963689,1377,1045047,9
0000000119,1,0.0029069767441860465,1376,1045047,11
0000000120,1,0.004357298474945534,1377,1045045,10
0000000121,1,0.0,1379,1045047,10
0000000122,1,0.0,1373,1045043,10
0000000123,1,0.0,1383,1045053,9
0000000124,1,0.0,1379,1045044,11
0000000125,1,0.0,1373,1045039,10
0000000126,1,0.0,1385,1045052,9
0000000127,1,0.0,1372,1045040,10
0000000128,1,0.00435097897026831,1379,1045046,10
0000000129,1,0.0014524328249818446,1377,1045043,10
0000000130,1,0.011653313911143482,1373,1045044,9
0000000131,1,0.0033333333333333335,1200,1045043,11
0000000132,1,0.0091324200913242,219,1045037,6
0000000133,1,0.0,1,1045030,2
0000000134,1,0.125,16,1045030,5
0000000135,1,0.0,37,1045047,5
0000000136,1,0.009174311926605505,218,1045041,6
0000000137,1,0.0,1,1045040,2
0000000138,1,0.375,16,1045040,6
0000000139,1,0.0,37,1045047,5
0000000140,1,0.0014545454545454545,1375,1045047,11
0000000141,1,0.0,1372,1045114,11
0000000142,1,0.001455604075691412,1374,1045127,10
0000000143,1,0.0,1376,1045135,11
0000000144,1,0.0,1371,1045116,10
0000000145,1,0.001448225923244026,1381,1045120,9
0000000146,1,0.0,219,1045035,19
0000000147,1,0.0,1,1045033,2
0000000148,1,0.0,16,1045033,14
0000000149,1,0.21621621621621623,37,1045028,11
0000000150,1,0.0,71,1045105,11
0000000151,1,0.0016263468184590363,4919,1045156,95
0000000152,1,0.0,337,1045299,12
0000000153,1,0.5,4,1045300,2
0000000154,1,0.03636363636363636,220,1045305,8
0000000155,1,0.0,1,1045305,1
0000000156,1,0.23529411764705882,17,1045305,8
0000000157,1,0.0,37,1045274,5
0000000158,1,0.0,1377,1045073,10
0000000159,1,0.002909090909090909,1375,1045073,13
0000000160,1,0.0,1376,1045078,10
0000000161,1,0.0,1375,1045071,11
