Starting Experiment with Threshold 0.1
Stopping on first fine-grained match below threshold
Buffers sized less than 10 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fine-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000008760,0,,,,1411,18497677,205
0000008759,0,,,,1410,18497677,204
0000008758,0,,,,1413,18497677,204
0000008757,0,,,,1412,18497677,207
0000008756,0,,,,1415,18497677,205
0000008755,0,,,,1418,18497677,203
0000008754,0,,,,1415,18497677,205
0000008753,0,,,,1413,18497677,201
0000008752,0,,,,1411,18497677,202
0000008751,0,,,,1415,18497677,202
0000008750,0,,,,1411,18497677,204
0000008749,0,,,,1413,18497677,204
0000008748,0,,,,93,18497677,202
0000008747,0,,,,889,18497677,197
0000008746,0,,,,1413,18497677,200
0000008745,0,,,,60,18497677,197
0000008744,0,,,,1408,18497677,202
0000008743,0,,,,1412,18497677,202
0000008742,0,,,,1412,18497677,201
0000008741,0,,,,1414,18497677,203
0000008740,0,,,,1413,18497677,202
0000008739,0,,,,1412,18497677,200
0000008738,0,,,,1416,18497677,241
0000008737,0,,,,1412,18497677,197
0000008736,0,,,,1413,18497677,194
0000008735,0,,,,1413,18497677,197
0000008734,0,,,,1419,18497677,209
0000008733,0,,,,1412,18497677,208
0000008732,0,,,,1413,18497677,201
0000008731,0,,,,1412,18497677,201
0000008730,0,,,,1414,18497677,209
0000008729,0,,,,1413,18497677,211
0000008728,0,,,,1413,18497677,211
0000008727,0,,,,1415,18497677,205
0000008726,0,,,,404,18497677,198
0000008725,0,,,,1412,18497677,202
0000008724,0,,,,1417,18497677,193
0000008723,0,,,,1414,18497677,205
0000008722,0,,,,1412,18497677,208
0000008721,0,,,,1414,18497677,197
0000008720,0,,,,1418,18497677,213
0000008719,0,,,,1413,18497677,222
0000008718,0,,,,1413,18497677,228
0000008717,0,,,,1411,18497677,206
0000008716,0,,,,1410,18497677,199
0000008715,0,,,,1409,18497677,204
0000008714,0,,,,1414,18497677,203
0000008713,0,,,,1413,18497677,194
0000008712,0,,,,1419,18497677,199
0000008711,0,,,,1413,18497677,194
0000008710,0,,,,1413,18497677,193
0000008709,0,,,,1413,18497677,195
0000008708,0,,,,1413,18497677,193
0000008707,0,,,,1413,18497677,195
0000008706,0,,,,1413,18497677,193
0000008705,0,,,,1417,18497677,193
0000008704,0,,,,1415,18497677,192
0000008703,0,,,,1410,18497677,192
0000008702,0,,,,91,18497677,192
0000008701,,,,,17,18497677,0
0000008700,0,,,,984,18497677,211
0000008699,0,,,,1409,18497677,202
0000008698,0,,,,1414,18497677,193
0000008697,0,,,,1414,18497677,193
0000008696,0,,,,1413,18497677,193
0000008695,0,,,,1417,18497677,199
0000008694,0,,,,1409,18497677,211
0000008693,0,,,,1416,18497677,210
0000008692,0,,,,1410,18497677,206
0000008691,0,,,,1415,18497677,205
0000008690,0,,,,1414,18497677,204
0000008689,0,,,,1413,18497677,201
0000008688,0,,,,1418,18497677,201
0000008687,0,,,,1412,18497677,204
0000008686,0,,,,1416,18497677,203
0000008685,0,,,,1412,18497677,205
0000008684,0,,,,1419,18497677,204
0000008683,0,,,,1412,18497677,194
0000008682,0,,,,1414,18497677,194
0000008681,0,,,,1411,18497677,202
0000008680,0,,,,1410,18497677,203
0000008679,0,,,,1412,18497677,208
0000008678,0,,,,1420,18497677,201
0000008677,0,,,,404,18497677,194
0000008676,0,,,,1416,18497677,200
0000008675,0,,,,1413,18497677,197
0000008674,0,,,,1411,18497677,194
0000008673,0,,,,1414,18497677,200
0000008672,0,,,,1412,18497677,194
0000008671,0,,,,1418,18497677,204
0000008670,0,,,,1412,18497677,194
0000008669,0,,,,1413,18497677,210
0000008668,0,,,,1417,18497677,206
0000008667,0,,,,1413,18497677,204
0000008666,0,,,,1414,18497677,201
0000008665,0,,,,1417,18497677,196
0000008664,0,,,,1415,18497677,195
0000008663,0,,,,1416,18497677,198
0000008662,0,,,,1414,18497677,195
0000008661,0,,,,1416,18497677,194
0000008660,0,,,,1410,18497677,197
0000008659,0,,,,1411,18497677,197
0000008658,0,,,,1413,18497677,199
0000008657,0,,,,1412,18497677,199
0000008656,0,,,,1414,18497677,198
0000008655,0,,,,1413,18497677,196
0000008654,0,,,,1414,18497677,194
0000008653,0,,,,404,18497677,194
0000008652,0,,,,1413,18497677,196
0000008651,0,,,,1413,18497677,196
0000008650,0,,,,1412,18497677,195
0000008649,0,,,,1414,18497677,196
0000008648,0,,,,1414,18497677,194
0000008647,0,,,,1414,18497677,204
0000008646,0,,,,1409,18497677,194
0000008645,0,,,,1411,18497677,196
0000008644,0,,,,1412,18497677,194
0000008643,0,,,,1411,18497677,200
0000008642,0,,,,1415,18497677,196
0000008641,0,,,,1411,18497677,194
0000008640,0,,,,1411,18497677,194
0000008639,0,,,,1414,18497677,196
0000008638,0,,,,1410,18497677,193
0000008637,0,,,,1415,18497677,196
0000008636,0,,,,1414,18497677,211
0000008635,0,,,,1415,18497677,207
0000008634,0,,,,1417,18497677,195
0000008633,0,,,,1413,18497677,197
0000008632,0,,,,1412,18497677,194
0000008631,0,,,,1415,18497677,195
0000008630,0,,,,1409,18497677,196
0000008629,0,,,,92,18497677,193
0000008628,0,,,,90,18497677,193
0000008627,,,,,17,18497677,0
0000008626,,,,,17,18497677,0
0000008625,,,,,9,18497677,0
0000008624,0,,,,51,18497677,192
0000008623,0,,,,439,18497677,193
0000008622,,,,,9,18497677,0
0000008621,0,,,,51,18497677,200
0000008620,0,,,,439,18497677,205
0000008619,,,,,9,18497677,0
0000008618,0,,,,40,18497677,191
0000008617,0,,,,497,18497677,193
0000008616,,,,,9,18497677,0
0000008615,0,,,,40,18497677,191
0000008614,0,,,,497,18497677,196
0000008613,0,,,,51,18497677,192
0000008612,0,,,,128,18497677,205
0000008611,0,,,,51,18497677,205
0000008610,0,,,,128,18497677,199
0000008609,,,,,17,18497677,0
0000008608,,,,,9,18497677,0
0000008607,0,,,,462,18497677,198
0000008606,0,,,,1456,18497677,195
0000008605,0,,,,47,18497677,194
0000008604,0,,,,398,18497677,194
0000008603,0,,,,1415,18497677,197
0000008602,0,,,,90,18497677,193
0000008601,,,,,17,18497677,0
0000008600,0,,,,807,18497677,195
0000008599,0,,,,1416,18497677,197
0000008598,0,,,,89,18497677,193
0000008597,,,,,17,18497677,0
0000008596,0,,,,38,18497677,192
0000008595,0,,,,1413,18497677,207
0000008594,0,,,,1416,18497677,194
0000008593,0,,,,541,18497677,195
0000008592,0,,,,1427,18497677,202
0000008591,0,,,,1413,18497677,197
0000008590,0,,,,1416,18497677,196
0000008589,0,,,,391,18497677,196
0000008588,,,,,9,18497677,0
0000008587,0,,,,40,18497677,193
0000008586,0,,,,498,18497677,194
0000008585,0,,,,1413,18497677,194
0000008584,0,,,,1412,18497677,195
0000008583,0,,,,1411,18497677,195
0000008582,0,,,,1412,18497677,198
0000008581,0,,,,1412,18497677,197
0000008580,0,,,,1414,18497677,197
0000008579,0,,,,1411,18497677,194
0000008578,0,,,,1411,18497677,194
0000008577,0,,,,1417,18497677,194
0000008576,0,,,,1414,18497677,194
0000008575,0,,,,1412,18497677,195
0000008574,0,,,,405,18497677,196
0000008573,0,,,,1414,18497677,196
0000008572,0,,,,1413,18497677,194
0000008571,0,,,,1414,18497677,195
0000008570,0,,,,1415,18497677,196
0000008569,0,,,,1417,18497677,195
0000008568,0,,,,1415,18497677,195
0000008567,0,,,,1413,18497677,197
0000008566,0,,,,1416,18497677,195
0000008565,0,,,,1412,18497677,193
0000008564,0,,,,1415,18497677,196
0000008563,0,,,,1412,18497677,198
0000008562,0,,,,1413,18497677,195
0000008561,0,,,,1415,18497677,197
0000008560,0,,,,1413,18497677,195
0000008559,0,,,,1410,18497677,195
0000008558,0,,,,1413,18497677,195
0000008557,0,,,,1413,18497677,194
0000008556,0,,,,1414,18497677,195
0000008555,0,,,,1413,18497677,201
0000008554,0,,,,1415,18497677,196
0000008553,0,,,,1416,18497677,209
0000008552,0,,,,1412,18497677,198
0000008551,0,,,,1415,18497677,197
0000008550,0,,,,92,18497677,196
0000008549,0,,,,1403,18497677,195
0000008548,0,,,,1411,18497677,195
0000008547,0,,,,1411,18497677,194
0000008546,0,,,,1412,18497677,206
0000008545,0,,,,1413,18497677,195
0000008544,0,,,,1413,18497677,198
0000008543,0,,,,1415,18497677,198
0000008542,0,,,,1419,18497677,236
0000008541,0,,,,1415,18497677,210
0000008540,0,,,,1412,18497677,204
0000008539,0,,,,51,18497677,192
0000008538,0,,,,129,18497677,195
0000008537,0,,,,1412,18497677,195
0000008536,0,,,,1412,18497677,200
0000008535,0,,,,1416,18497677,194
0000008534,0,,,,1414,18497677,194
0000008533,0,,,,1414,18497677,196
0000008532,0,,,,1414,18497677,202
0000008531,0,,,,1417,18497677,195
0000008530,0,,,,1413,18497677,195
0000008529,0,,,,1413,18497677,195
0000008528,0,,,,1415,18497677,195
0000008527,0,,,,1411,18497677,195
0000008526,0,,,,403,18497677,194
0000008525,0,,,,1414,18497677,195
0000008524,0,,,,1412,18497677,206
0000008523,0,,,,1413,18497677,209
0000008522,0,,,,1414,18497677,201
0000008521,0,,,,1410,18497677,201
0000008520,0,,,,1412,18497677,195
0000008519,0,,,,1414,18497677,196
0000008518,0,,,,1416,18497677,196
0000008517,0,,,,1412,18497677,195
0000008516,0,,,,1411,18497677,195
0000008515,0,,,,1414,18497677,199
0000008514,0,,,,1413,18497677,196
0000008513,0,,,,1414,18497677,196
0000008512,0,,,,1417,18497677,195
0000008511,0,,,,1413,18497677,195
0000008510,0,,,,1411,18497677,195
0000008509,0,,,,691,18497677,195
0000008508,0,,,,1412,18497677,199
0000008507,0,,,,1410,18497677,198
0000008506,0,,,,1412,18497677,195
0000008505,0,,,,1411,18497677,194
0000008504,0,,,,1410,18497677,198
0000008503,0,,,,1415,18497677,195
0000008502,0,,,,111,18497677,193
0000008501,0,,,,1413,18497677,199
0000008500,0,,,,1416,18497677,194
0000008499,0,,,,1418,18497677,196
0000008498,0,,,,1415,18497677,196
0000008497,0,,,,1416,18497677,194
0000008496,0,,,,1413,18497677,205
0000008495,0,,,,1415,18497677,194
0000008494,0,,,,91,18497677,193
0000008493,,,,,17,18497677,0
0000008492,0,,,,918,18497677,194
0000008491,0,,,,402,18497677,197
0000008490,0,,,,1410,18497677,195
0000008489,0,,,,1416,18497677,196
0000008488,0,,,,1414,18497677,195
0000008487,0,,,,1414,18497677,195
0000008486,0,,,,1413,18497677,196
0000008485,0,,,,1414,18497677,194
0000008484,0,,,,1415,18497677,194
0000008483,0,,,,1413,18497677,194
0000008482,0,,,,1413,18497677,195
0000008481,0,,,,1415,18497677,194
0000008480,0,,,,1416,18497677,194
0000008479,0,,,,1413,18497677,199
0000008478,0,,,,1413,18497677,197
0000008477,0,,,,1411,18497677,195
0000008476,0,,,,1420,18497677,194
0000008475,0,,,,1415,18497677,194
0000008474,0,,,,1411,18497677,195
0000008473,0,,,,1411,18497677,195
0000008472,0,,,,1415,18497677,194
0000008471,0,,,,1413,18497677,194
0000008470,0,,,,1416,18497677,195
0000008469,0,,,,1412,18497677,195
0000008468,0,,,,1411,18497677,195
0000008467,,,,,17,18497677,0
0000008466,0,,,,187,18497677,193
0000008465,0,,,,915,18497677,195
0000008464,0,,,,1408,18497677,197
