Starting Experiment with Threshold 0.01
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000079,1,0.008727272727272728,1375,1032778,13
0000000080,3,0.008733624454148471,1374,1032782,27
0000000081,11,0.008676789587852495,1383,1032794,83
0000000082,7,0.00873998543335761,1373,1032798,55
0000000083,11,0.00872093023255814,1376,1032800,88
0000000084,4,0.008708272859216255,1378,1032810,33
0000000085,1,0.00847457627118644,236,1032816,8
0000000086,18,0.008727272727272728,1375,1032682,125
0000000087,10,0.00872093023255814,1376,1032699,72
0000000088,6,0.008733624454148471,1374,1032696,45
0000000089,12,0.00872093023255814,1376,1032694,86
0000000090,4,0.008714596949891068,1377,1032700,34
0000000091,14,0.00872093023255814,1376,1032722,102
0000000092,8,0.008733624454148471,1374,1032718,64
0000000093,6,0.00872093023255814,1376,1032721,49
0000000094,3,0.009925558312655087,403,1032727,8
0000000095,2,0.008714596949891068,1377,1045013,21
0000000096,7,0.008727272727272728,1375,1045043,53
0000000097,7,0.00872093023255814,1376,1045044,54
0000000098,1,0.008714596949891068,1377,1045047,12
0000000099,3,0.008746355685131196,1372,1045045,25
0000000100,17,0.008708272859216255,1378,1045043,125
0000000101,5,0.008714596949891068,1377,1045045,39
0000000102,4,0.008727272727272728,1375,1045042,33
0000000103,8,0.008689355539464157,1381,1045046,59
0000000104,8,0.00872093023255814,1376,1045047,65
0000000105,3,0.008727272727272728,1375,1045043,26
0000000106,9,0.008708272859216255,1378,1045048,67
0000000107,6,0.00872093023255814,1376,1045045,46
0000000108,10,0.008708272859216255,1378,1045047,73
0000000109,3,0.008727272727272728,1375,1045043,30
0000000110,2,0.008727272727272728,1375,1045048,19
0000000111,15,0.008708272859216255,1378,1045047,101
0000000112,17,0.008714596949891068,1377,1045045,118
0000000113,7,0.00872093023255814,1376,1045043,51
0000000114,19,0.008733624454148471,1374,1045040,131
0000000115,3,0.008727272727272728,1375,1045041,30
0000000116,5,0.008708272859216255,1378,1045047,37
0000000117,1,0.00870195794053662,1379,1045049,13
0000000118,7,0.008714596949891068,1377,1045047,51
0000000119,16,0.00872093023255814,1376,1045047,115
0000000120,12,0.008714596949891068,1377,1045045,91
0000000121,3,0.00870195794053662,1379,1045047,25
0000000122,8,0.00873998543335761,1373,1045043,58
0000000123,10,0.008676789587852495,1383,1045053,76
0000000124,13,0.00870195794053662,1379,1045044,92
0000000125,4,0.00873998543335761,1373,1045039,35
0000000126,3,0.008664259927797834,1385,1045052,25
0000000127,8,0.008746355685131196,1372,1045040,65
0000000128,8,0.00870195794053662,1379,1045046,57
0000000129,6,0.008714596949891068,1377,1045043,48
0000000130,14,0.00873998543335761,1373,1045044,110
0000000131,3,0.008333333333333333,1200,1045043,26
0000000132,2,0.0091324200913242,219,1045037,10
0000000133,1,0.0,1,1045030,2
0000000134,2,0.0,16,1045030,8
0000000135,1,0.0,37,1045047,6
0000000136,2,0.009174311926605505,218,1045041,9
0000000137,1,0.0,1,1045040,2
0000000138,4,0.0,16,1045040,9
0000000139,1,0.0,37,1045047,6
0000000140,10,0.008727272727272728,1375,1045047,73
0000000141,4,0.008746355685131196,1372,1045114,33
0000000142,4,0.008733624454148471,1374,1045127,33
0000000143,5,0.00872093023255814,1376,1045135,44
0000000144,1,0.0087527352297593,1371,1045116,20
0000000145,6,0.008689355539464157,1381,1045120,54
0000000146,1,0.0091324200913242,219,1045035,24
0000000147,1,0.0,1,1045033,2
0000000148,1,0.0,16,1045033,18
0000000149,5,0.0,37,1045028,18
0000000150,1,0.0,71,1045105,19
0000000151,25,0.00975808091075422,4919,1045156,2328
0000000152,1,0.005934718100890208,337,1045299,28
0000000153,3,0.0,4,1045300,8
0000000154,8,0.00909090909090909,220,1045305,21
0000000155,1,0.0,1,1045305,3
0000000156,3,0.0,17,1045305,20
0000000157,1,0.0,37,1045274,13
0000000158,28,0.008714596949891068,1377,1045073,270
0000000159,7,0.008727272727272728,1375,1045073,55
0000000160,3,0.00872093023255814,1376,1045078,27
0000000161,5,0.008727272727272728,1375,1045071,40
0000000162,11,0.00870195794053662,1379,1045078,90
0000000163,5,0.00872093023255814,1376,1045075,39
0000000164,8,0.008733624454148471,1374,1045072,60
0000000165,5,0.008733624454148471,1374,1045071,44
0000000166,10,0.008683068017366137,1382,1045080,80
0000000167,16,0.00872093023255814,1376,1045075,119
0000000168,9,0.008746355685131196,1372,1045068,68
0000000169,4,0.008714596949891068,1377,1045073,33
0000000170,22,0.008714596949891068,1377,1045072,165
0000000171,9,0.00872093023255814,1376,1045078,72
