Starting Experiment with Threshold 0.01
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000152,0.005934718100890208,337,1045299,239
0000000153,0.0,4,1045300,12
0000000154,0.00909090909090909,220,1045305,123
0000000155,0.0,1,1045305,2
0000000156,0.0,17,1045305,126
0000000157,0.0,37,1045274,79
0000000158,0.008714596949891068,1377,1045073,214
0000000159,0.008727272727272728,1375,1045073,100
0000000160,0.00872093023255814,1376,1045078,80
0000000161,0.008727272727272728,1375,1045071,92
0000000162,0.00870195794053662,1379,1045078,126
0000000163,0.00872093023255814,1376,1045075,92
0000000164,0.008733624454148471,1374,1045072,109
0000000165,0.008733624454148471,1374,1045071,94
0000000166,0.008683068017366137,1382,1045080,118
0000000167,0.00872093023255814,1376,1045075,151
0000000168,0.008746355685131196,1372,1045068,112
0000000169,0.008714596949891068,1377,1045073,88
0000000170,0.008714596949891068,1377,1045072,187
0000000171,0.00872093023255814,1376,1045078,113
0000000172,0.008714596949891068,1377,1045079,103
0000000173,0.00872093023255814,1376,1045080,99
0000000174,0.008727272727272728,1375,1045083,122
0000000175,0.00870195794053662,1379,1045092,103
0000000176,0.008714596949891068,1377,1045101,121
0000000177,0.008714596949891068,1377,1045102,82
0000000178,0.008689355539464157,1381,1045104,80
0000000179,0.00870195794053662,1379,1045103,97
0000000180,0.008676789587852495,1383,1045104,83
0000000181,0.00872093023255814,1376,1045128,129
0000000182,0.008733624454148471,1374,1045126,77
0000000183,0.00872093023255814,1376,1045126,123
0000000184,0.008727272727272728,1375,1045124,130
0000000185,0.008746355685131196,1372,1045123,97
0000000186,0.008714596949891068,1377,1045124,129
0000000187,0.00870195794053662,1379,1045162,126
0000000188,0.00872093023255814,1376,1045157,79
0000000189,0.008714596949891068,1377,1045162,104
0000000190,0.008727272727272728,1375,1045158,109
0000000191,0.00870195794053662,1379,1045163,118
0000000192,0.008670520231213872,1384,1045164,93
0000000193,0.008714596949891068,1377,1045154,128
0000000194,0.00870195794053662,1379,1045157,76
0000000195,0.008695652173913044,1380,1045159,111
0000000196,0.008727272727272728,1375,1045186,81
0000000197,0.008714596949891068,1377,1045188,136
0000000198,0.00872093023255814,1376,1045188,96
0000000199,0.00873998543335761,1373,1045184,119
0000000200,0.008746355685131196,1372,1045178,117
0000000201,0.00872093023255814,1376,1045187,122
0000000202,0.008733624454148471,1374,1045187,94
0000000203,0.008683068017366137,1382,1045189,97
0000000204,0.00873998543335761,1373,1045180,72
0000000205,0.00873998543335761,1373,1045181,113
0000000206,0.00873998543335761,1373,1045165,98
0000000207,0.008733624454148471,1374,1045171,85
0000000208,0.00872093023255814,1376,1045168,96
0000000209,0.008689355539464157,1381,1045176,133
0000000210,0.008727272727272728,1375,1045146,174
0000000211,0.00968054211035818,1033,1045145,78
0000000212,0.008708272859216255,1378,1045147,128
0000000213,0.008733624454148471,1374,1045174,99
0000000214,0.00870195794053662,1379,1045181,105
0000000215,0.008708272859216255,1378,1045178,101
0000000216,0.0087527352297593,1371,1045183,77
0000000217,0.008733624454148471,1374,1045175,93
0000000218,0.008695652173913044,1380,1045182,140
0000000219,0.008689355539464157,1381,1045181,114
0000000220,0.008714596949891068,1377,1045218,96
0000000221,0.00872093023255814,1376,1045179,93
0000000222,0.008714596949891068,1377,1045180,123
0000000223,0.00873998543335761,1373,1045174,151
0000000224,0.008695652173913044,1380,1045184,94
0000000225,0.00872093023255814,1376,1045174,134
0000000226,0.008733624454148471,1374,1045174,71
0000000227,0.008695652173913044,1380,1045178,112
0000000228,0.008746355685131196,1372,1045222,97
0000000229,0.00870195794053662,1379,1045181,128
0000000230,0.00873998543335761,1373,1045173,109
0000000231,0.008695652173913044,1380,1045180,117
0000000232,0.00870195794053662,1379,1045182,86
0000000233,0.008683068017366137,1382,1045185,92
0000000234,0.00870195794053662,1379,1045179,70
0000000235,0.008733624454148471,1374,1045187,169
0000000236,0.00873998543335761,1373,1045175,143
0000000237,0.00872093023255814,1376,1045180,104
0000000238,0.008708272859216255,1378,1045179,107
